importance,feature_name,rank
664,STEEL_HOLE_AGE,1.0
576,CO_RETURN_WT,2.0
476,BLOW_COST_SEC,3.0
473,FIT_LANCE_AGE,4.0
433,MAIL_LANCE_AGE,5.0
423,BLOW_DURATION,6.0
269,TAP_DURATION,7.0
252,TAP_COST_SEC,8.0
207,TOTAL_COST_SEC,9.0
166,END_LANCE_POS,10.0
160,OUT_STEEL_TEMP,11.0
142,SEC_BLOW_SEC,12.0
135,REBLOW_DURATION,13.0
121,STATION_NO,14.0
119,MOLTIRON_WT,15.0
115,5G11,16.0
105,N_SUM_COMSUME,17.0
95,IRON_SI,18.0
91,8ZCSSH,19.0
90,IRON_P,20.0
78,IRON_BLOW_COST_SEC,21.0
78,BLOW_SCRAP_COST_SEC,22.0
77,ST_MO,23.0
77,LADLE_AGE,24.0
73,IRON_TEMP,25.0
71,LADLE_ARRIVE_WT,26.0
67,ST_MN,27.0
67,MID_END_LANCE_POS_DIFF,28.0
65,3FeCr_GC,29.0
63,START_LANCE_POS,30.0
63,SEC_BLOW_CATCH_COST_SEC,31.0
55,91LTFK,32.0
53,MID_LANCE_POS,33.0
51,FD_TI_VALUE,34.0
51,ST_SI,35.0
49,ST_V,36.0
49,FD_C_VALUE,37.0
48,IRON_C,38.0
47,8ZCQSBYS,39.0
44,PROD_SHIFT_NO,40.0
43,FD_MO_VALUE,41.0
42,ST_CU,42.0
42,OUT_STEEL_PRE_TEMP,43.0
41,IRON_S,44.0
41,TOTAL_LOSS_WT,45.0
39,ST_CEQ,46.0
39,IRON_MN,47.0
39,ST_P,48.0
36,PROD_SHIFT_GROUP,49.0
36,START_END_LANCE_POS_DIFF,50.0
33,REBLOW_NUM,51.0
32,ST_NI,52.0
30,6SZYL,53.0
29,LADLE_LEAVE_WT,54.0
29,FD_CU_VALUE,55.0
28,TiO2,56.0
27,ST_TI,57.0
26,4MBY_N,58.0
25,3FeSi_K,59.0
25,FD_CR_VALUE,60.0
25,ST_S,61.0
25,6ZTJ_N,62.0
25,FURNACE_NUM,63.0
25,ST_C,64.0
24,P2O5,65.0
24,6QSBYS,66.0
23,3FeV,67.0
23,START_MID_LANCE_POS_DIFF,68.0
21,FD_CEQ_VALUE,69.0
20,FD_P_VALUE,70.0
19,FD_V_VALUE,71.0
19,FD_MN_VALUE,72.0
18,ST_CR,73.0
17,Al2O3,74.0
17,6YS,75.0
16,FD_SI_VALUE,76.0
14,MgO,77.0
14,FD_NI_VALUE,78.0
13,ST_NO,79.0
13,8ZCST,80.0
12,AR_SUM_COMSUME,81.0
12,MnO,82.0
12,FD_S_VALUE,83.0
10,3SiMn,84.0
10,3Al_D,85.0
7,TFe,86.0
6,CAST_YIELD,87.0
5,3FeTi,88.0
4,CaO,89.0
2,CaO_SiO2_R,90.0
2,S,91.0
2,3GNH,92.0
1,SiO2,93.0
0,STATION_ID,94.0
0,3SiMn_II,95.0
0,FURNACE_AGE,96.0
0,MAIL_LANCE_NO,97.0
0,FIT_LANCE_NO,98.0
0,SPATTER_SLAG_AR_COMSUME,99.0
0,HEAT_NO,100.0
0,PRACT_COLL_MODE,101.0
